"","Z","PDF","CDF"
"81",-3.7,0.000424780270550751,0.000107799733477388
"82",-3.69,0.000440769483115133,0.000112127025982247
"83",-3.68,0.000457314814059858,0.000116616976815368
"84",-3.67,0.000474433767606621,0.000121275234285358
"85",-3.66,0.000492144328832893,0.000126107624138487
"86",-3.65,0.000510464974344186,0.000131120154420485
"87",-3.64,0.000529414683094935,0.000136319020445802
"88",-3.63,0.000549012947356959,0.000141710609875819
"89",-3.62,0.000569279783834253,0.000147301507907473
"90",-3.61,0.000590235744922786,0.000153098502573755
"91",-3.6,0.000611901930113772,0.000159108590157534
"92",-3.59,0.000634299997538758,0.00016533898072011
"93",-3.58,0.000657452175654676,0.000171797103745931
"94",-3.57,0.000681381275066892,0.000178490613904847
"95",-3.56,0.000706110700488036,0.000185427396933278
"96",-3.55,0.000731664462830311,0.000192615575635633
"97",-3.54,0.00075806719142871,0.00020006351600732
"98",-3.53,0.000785344146392469,0.000207779833480621
"99",-3.52,0.000813521231081808,0.000215773399294718
"100",-3.51,0.000842625004706903,0.000224053346991093
"101",-3.5,0.00087268269504576,0.000232629079035525
"102",-3.49,0.000903722211277524,0.000241510273567836
"103",-3.48,0.00093577215692748,0.000250706891280538
"104",-3.47,0.000968861842919847,0.000260229182427467
"105",-3.46,0.00100302130073424,0.000270087693963475
"106",-3.45,0.00103828129566141,0.000280293276816177
"107",-3.44,0.00107467334015374,0.000290857093290743
"108",-3.43,0.00111222970726557,0.000301790624608638
"109",-3.42,0.00115098344417848,0.0003131056785812
"110",-3.41,0.00119096838580612,0.000324814397418878
"111",-3.4,0.00123221916847302,0.000336929265676881
"112",-3.39,0.00127477124366184,0.000349463118337972
"113",-3.38,0.00131866089182274,0.000362429149033044
"114",-3.37,0.0013639252362389,0.000375840918400083
"115",-3.36,0.00141060225694138,0.000389712362582032
"116",-3.35,0.00145873080466675,0.000404057801864022
"117",-3.34,0.00150835061485031,0.00041889194945037
"118",-3.33,0.00155950232164769,0.000434229920381655
"119",-3.32,0.00161222747197712,0.000450087240592117
"120",-3.31,0.00166656853957458,0.000466479856107549
"121",-3.3,0.00172256893905368,0.000483424142383777
"122",-3.29,0.00178027303996188,0.000500936913785722
"123",-3.28,0.00183972618082428,0.000519035433206972
"124",-3.27,0.00190097468316608,0.000537737421829695
"125",-3.26,0.00196406586550438,0.000557061069024622
"126",-3.25,0.00202904805729977,0.000577025042390767
"127",-3.24,0.00209597061285794,0.000597648497934415
"128",-3.23,0.00216488392517106,0.000618951090386835
"129",-3.22,0.00223583943968854,0.000640952983660057
"130",-3.21,0.0023088896680065,0.000663674861439968
"131",-3.2,0.00238408820146484,0.000687137937915848
"132",-3.19,0.0024614897246407,0.000711363968645364
"133",-3.18,0.00254115002872653,0.000736375261553932
"134",-3.17,0.00262312602478102,0.000762194688067235
"135",-3.16,0.0027074757568407,0.000788845694375573
"136",-3.15,0.00279425841487945,0.000816352312828562
"137",-3.14,0.00288353434760344,0.000844739173458628
"138",-3.13,0.00297536507506825,0.000874031515631568
"139",-3.12,0.00306981330110474,0.00090425519982234
"140",-3.11,0.00316694292554008,0.0009354367195141
"141",-3.1,0.00326681905619992,0.000967603213218358
"142",-3.09,0.00336950802067748,0.00100078247661401
"143",-3.08,0.00347507737785494,0.00103500297480284
"144",-3.07,0.00358359592916236,0.00107029385467892
"145",-3.06,0.00369513372955903,0.00110668495740925
"146",-3.05,0.00380976209822181,0.0011442068310227
"147",-3.04,0.00392755362892478,0.00118289074310441
"148",-3.03,0.00404858220009443,0.00122276869359226
"149",-3.02,0.00417292298452396,0.0012638734276723
"150",-3.01,0.00430065245873045,0.00130623844876947
"151",-3,0.00443184841193801,0.00134989803163009
"152",-2.99,0.00456658995467014,0.00139488723549225
"153",-2.98,0.00470495752693398,0.00144124191734001
"154",-2.97,0.00484703290597895,0.00148899874523747
"155",-2.96,0.00499289921361238,0.00153819521173806
"156",-2.95,0.00514264092305394,0.00158886964736487
"157",-2.94,0.00529634386531102,0.001641061234157
"158",-2.93,0.00545409523505655,0.00169481001927726
"159",-2.92,0.00561598359599097,0.0017501569286761
"160",-2.91,0.00578209888566947,0.00180714378080643
"161",-2.9,0.00595253241977585,0.00186581330038404
"162",-2.89,0.00612737689582369,0.00192620913218786
"163",-2.88,0.00630672639626593,0.00198837585489433
"164",-2.87,0.00649067639099336,0.00205235899493975
"165",-2.86,0.00667932373920262,0.00211820504040462
"166",-2.85,0.00687276669061398,0.00218596145491324
"167",-2.84,0.00707110488601945,0.00225567669154232
"168",-2.83,0.00727443935714122,0.00232740020673155
"169",-2.82,0.00748287252578055,0.00240118247418925
"170",-2.81,0.00769650820223732,0.00247707499878586
"171",-2.8,0.00791545158297997,0.00255513033042793
"172",-2.79,0.00813980924754602,0.00263540207790495
"173",-2.78,0.00836968915465302,0.00271794492270126
"174",-2.77,0.00860520063749967,0.00280281463276503
"175",-2.76,0.00884645439823723,0.00289006807622615
"176",-2.75,0.00909356250159105,0.00297976323505456
"177",-2.74,0.00934663836761228,0.00307195921865049
"178",-2.73,0.00960579676353959,0.00316671627735779
"179",-2.72,0.00987115379475114,0.00326409581589132
"180",-2.71,0.0101428268947871,0.00336416040666919
"181",-2.7,0.0104209348144226,0.00346697380304067
"182",-2.69,0.0107055976097722,0.00357260095239974
"183",-2.68,0.0109969366294056,0.00368110800917499
"184",-2.67,0.0112950745004561,0.00379256234768549
"185",-2.66,0.0116001351137026,0.00390703257485278
"186",-2.65,0.0119122436076052,0.00402458854275831
"187",-2.64,0.012231526351278,0.00414530136103605
"188",-2.63,0.0125581109263782,0.00426924340908935
"189",-2.62,0.0128921261078953,0.00439648834812131
"190",-2.61,0.0132337018438214,0.00452711113296733
"191",-2.6,0.0135829692336856,0.00466118802371875
"192",-2.59,0.0139400605059358,0.00479879659712618
